# Kimbillionaire Game Archive
# Game Date: 2025-10-27T22:01:43.648Z
# Contestant: Fonc week
# Total Players: 10
# Questions Completed: 15 of 15
# Winner: kerviz (219 points)
#
Rank,Username,Points,Correct_Answers,Total_Votes,Accuracy_Percent,Current_Streak,Best_Streak,Hot_Seat_Appearances,Hot_Seat_Correct,Fastest_Response_MS,Is_Winner
1,kerviz,219,14,15,93.33,8,8,0,0,5722,Yes
2,imsin__,207,13,15,86.67,5,5,0,0,7210,No
3,ottokar16,207,15,15,100.00,15,15,0,0,7662,No
4,inkyderanged,198,15,15,100.00,15,15,0,0,6597,No
5,jediskirk,185,15,15,100.00,15,15,0,0,16195,No
6,pavl1k_king1,182,15,15,100.00,15,15,0,0,8116,No
7,lattislollern,181,15,15,100.00,15,15,0,0,9683,No
8,xeenonlion,180,12,15,80.00,0,9,0,0,6979,No
9,climbby,180,14,14,100.00,14,14,0,0,7792,No
10,el_colio,179,14,14,100.00,14,14,0,0,7914,No
