# Kimbillionaire Game Archive
# Game Date: 2025-10-29T22:06:07.398Z
# Contestant: LIONS FOMC DAY
# Total Players: 10
# Questions Completed: 15 of 15
# Winner: gabo0o93 (233 points)
#
Rank,Username,Points,Correct_Answers,Total_Votes,Accuracy_Percent,Current_Streak,Best_Streak,Hot_Seat_Appearances,Hot_Seat_Correct,Fastest_Response_MS,Is_Winner
1,gabo0o93,233,17,20,85.00,12,12,0,0,8102,Yes
2,imsin__,213,15,22,68.18,3,6,0,0,7016,No
3,domchec,169,13,21,61.90,3,4,0,0,6969,No
4,inkyderanged,169,13,13,100.00,13,13,0,0,12377,No
5,henry_gamer_1,168,15,22,68.18,6,6,0,0,8637,No
6,gj0nes16,162,14,19,73.68,3,6,0,0,8261,No
7,bensotg,162,13,16,81.25,10,10,0,0,9942,No
8,insistince,143,12,15,80.00,1,8,0,0,10633,No
9,spirgas_,137,12,14,85.71,6,6,0,0,9245,No
10,gucciromo,135,12,17,70.59,3,7,0,0,18087,No
