# Kimbillionaire Game Archive
# Game Date: 2025-11-05T23:14:01.008Z
# Contestant: GameShow 2025.11.05
# Total Players: 10
# Questions Completed: 15 of 15
# Winner: giulicious40 (199 points)
#
Rank,Username,Points,Correct_Answers,Total_Votes,Accuracy_Percent,Current_Streak,Best_Streak,Hot_Seat_Appearances,Hot_Seat_Correct,Fastest_Response_MS,Is_Winner
1,giulicious40,199,10,12,83.33,0,10,0,0,8529,Yes
2,marcwsd,172,11,12,91.67,11,11,0,0,10459,No
3,aitor7859,170,12,12,100.00,12,12,0,0,17712,No
4,k0sarsw,169,12,12,100.00,12,12,0,0,12635,No
5,maeztro618,168,11,11,100.00,11,11,0,0,13812,No
6,climbby,167,9,11,81.82,6,6,0,0,8016,No
7,thetakingprophet,163,11,11,100.00,11,11,0,0,11152,No
8,budfox14,60,5,6,83.33,0,5,0,0,14049,No
9,dextrose__,46,5,6,83.33,1,4,0,0,14866,No
10,frederikthom,40,4,4,100.00,4,4,0,0,9274,No
