# Kimbillionaire Game Archive
# Game Date: 2025-11-10T23:25:08.166Z
# Contestant: November Juice
# Total Players: 10
# Questions Completed: 15 of 15
# Winner: imsin__ (221 points)
#
Rank,Username,Points,Correct_Answers,Total_Votes,Accuracy_Percent,Current_Streak,Best_Streak,Hot_Seat_Appearances,Hot_Seat_Correct,Fastest_Response_MS,Is_Winner
1,imsin__,221,12,12,100.00,12,12,0,0,7083,Yes
2,hedgefondmanager,216,11,11,100.00,11,11,0,0,6610,No
3,jvrosz4,203,12,12,100.00,12,12,0,0,8520,No
4,philmyberries,164,10,10,100.00,10,10,0,0,24020,No
5,mosesthepug,155,10,12,83.33,7,7,0,0,9265,No
6,wrongpersongr,149,11,12,91.67,7,7,0,0,7516,No
7,inkyderanged,146,10,12,83.33,6,6,0,0,8272,No
8,aceyd4,118,9,9,100.00,9,9,0,0,7719,No
9,lina9becker,87,7,11,63.64,6,6,0,0,15063,No
10,marcwsd,85,7,7,100.00,7,7,0,0,12058,No
