# Kimbillionaire Game Archive
# Game Date: 2025-11-12T23:05:24.698Z
# Contestant: Gameshow november 12
# Total Players: 10
# Questions Completed: 15 of 15
# Winner: el_boris (189 points)
#
Rank,Username,Points,Correct_Answers,Total_Votes,Accuracy_Percent,Current_Streak,Best_Streak,Hot_Seat_Appearances,Hot_Seat_Correct,Fastest_Response_MS,Is_Winner
1,el_boris,189,12,14,85.71,9,9,0,0,6959,Yes
2,jpx_269,186,13,13,100.00,13,13,0,0,16270,No
3,kerviz,185,11,13,84.62,9,9,0,0,5853,No
4,wrongpersongr,176,12,14,85.71,9,9,0,0,6251,No
5,inkyderanged,144,12,14,85.71,9,9,0,0,9184,No
6,maeztro618,141,10,14,71.43,3,5,0,0,19713,No
7,k0sarsw,126,10,14,71.43,5,5,0,0,11311,No
8,thenamgod,116,11,12,91.67,3,8,0,0,13222,No
9,xinfinid,105,11,14,78.57,4,4,0,0,13304,No
10,wefancy,101,11,13,84.62,8,8,0,0,15856,No
