# Kimbillionaire Game Archive
# Game Date: 2025-11-17T23:13:08.861Z
# Contestant: November 17th
# Total Players: 10
# Questions Completed: 15 of 15
# Winner: inkyderanged (264 points)
#
Rank,Username,Points,Correct_Answers,Total_Votes,Accuracy_Percent,Current_Streak,Best_Streak,Hot_Seat_Appearances,Hot_Seat_Correct,Fastest_Response_MS,Is_Winner
1,inkyderanged,264,12,12,100.00,12,12,0,0,8993,Yes
2,gilfrancarvalho,181,10,10,100.00,10,10,0,0,18881,No
3,svladimirs,167,12,12,100.00,12,12,0,0,16738,No
4,pumperdave,165,12,12,100.00,12,12,0,0,13442,No
5,cucadeliciosa,163,11,11,100.00,11,11,0,0,9331,No
6,sml_woopy,121,11,12,91.67,3,8,0,0,7834,No
7,doobielikethat,95,8,8,100.00,8,8,0,0,7774,No
8,thetakingprophet,88,8,8,100.00,8,8,0,0,11030,No
9,v___001,86,8,8,100.00,8,8,0,0,16553,No
10,smokendrift,68,6,6,100.00,6,6,0,0,34075,No
