# Kimbillionaire Game Archive
# Game Date: 2025-11-26T23:03:51.255Z
# Contestant: November
# Total Players: 10
# Questions Completed: 15 of 15
# Winner: cucadeliciosa (72 points)
#
Rank,Username,Points,Correct_Answers,Total_Votes,Accuracy_Percent,Current_Streak,Best_Streak,Hot_Seat_Appearances,Hot_Seat_Correct,Fastest_Response_MS,Is_Winner
1,cucadeliciosa,72,5,5,100.00,5,5,0,0,8047,Yes
2,j4bux,70,6,6,100.00,6,6,0,0,12039,No
3,k0sarsw,66,6,6,100.00,6,6,0,0,13185,No
4,inf25,65,6,6,100.00,6,6,0,0,13778,No
5,st_mara_2025,63,6,6,100.00,6,6,0,0,9926,No
6,thenamgod,63,6,6,100.00,6,6,0,0,16202,No
7,maeztro618,27,3,3,100.00,3,3,0,0,23161,No
8,cyper22_kimbacub,26,0,0,0.00,0,0,0,0,,No
9,extramaplevanilla,16,2,2,100.00,2,2,0,0,41250,No
10,misark,7,1,1,100.00,1,1,0,0,42576,No
