# Kimbillionaire Game Archive
# Game Date: 2025-11-28T21:51:35.943Z
# Contestant: new juice
# Total Players: 10
# Questions Completed: 15 of 15
# Winner: jhoalx (216 points)
#
Rank,Username,Points,Correct_Answers,Total_Votes,Accuracy_Percent,Current_Streak,Best_Streak,Hot_Seat_Appearances,Hot_Seat_Correct,Fastest_Response_MS,Is_Winner
1,jhoalx,216,12,12,100.00,12,12,0,0,8360,Yes
2,cucadeliciosa,196,11,11,100.00,11,11,0,0,10193,No
3,thetakingprophet,189,12,12,100.00,12,12,0,0,10819,No
4,spirgas_,186,12,12,100.00,12,12,0,0,9950,No
5,gabo0o93,182,12,12,100.00,12,12,0,0,9552,No
6,sml_woopy,169,11,11,100.00,11,11,0,0,11098,No
7,mogs77,169,11,11,100.00,11,11,0,0,11185,No
8,nokoyy_,155,10,10,100.00,10,10,0,0,9718,No
9,domchec,141,10,11,90.91,5,5,0,0,11431,No
10,trelaxgr,98,8,8,100.00,8,8,0,0,26741,No
