# Kimbillionaire Game Archive
# Game Date: 2025-12-01T18:48:57.787Z
# Contestant: Kimba Gang enters the Chat
# Total Players: 10
# Questions Completed: 15 of 15
# Winner: inkyderanged (226 points)
#
Rank,Username,Points,Correct_Answers,Total_Votes,Accuracy_Percent,Current_Streak,Best_Streak,Hot_Seat_Appearances,Hot_Seat_Correct,Fastest_Response_MS,Is_Winner
1,inkyderanged,226,10,10,100.00,10,10,0,0,6770,Yes
2,kerviz,124,9,9,100.00,9,9,0,0,8152,No
3,host,81,5,6,83.33,0,5,0,0,10465,No
4,kagewins,44,4,6,66.67,1,2,0,0,13582,No
5,mcillem,35,3,5,60.00,1,2,0,0,18513,No
6,koobeeeeeeeeeee,31,3,5,60.00,1,1,0,0,14244,No
7,kaagam,29,3,3,100.00,3,3,0,0,35373,No
8,cucadeliciosa,25,1,3,33.33,1,1,0,0,11042,No
9,hedgefondmanager,11,1,1,100.00,1,1,0,0,29557,No
10,iamvisp,8,1,1,100.00,1,1,0,0,34031,No
