# Kimbillionaire Game Archive
# Game Date: 2025-12-03T17:58:43.254Z
# Contestant: December 3rd Game
# Total Players: 10
# Questions Completed: 15 of 15
# Winner: kerviz (267 points)
#
Rank,Username,Points,Correct_Answers,Total_Votes,Accuracy_Percent,Current_Streak,Best_Streak,Hot_Seat_Appearances,Hot_Seat_Correct,Fastest_Response_MS,Is_Winner
1,kerviz,267,13,13,100.00,13,13,0,0,6332,Yes
2,lebigv_,200,13,13,100.00,13,13,0,0,12134,No
3,domchec,197,11,11,100.00,11,11,0,0,7724,No
4,imsin__,196,12,13,92.31,8,8,0,0,5847,No
5,cucadeliciosa,169,11,11,100.00,11,11,0,0,7453,No
6,allennesu,155,12,12,100.00,12,12,0,0,17744,No
7,mannaka02,150,11,11,100.00,11,11,0,0,12961,No
8,arhas115,122,10,11,90.91,8,8,0,0,20289,No
9,nitrogen203,117,10,11,90.91,7,7,0,0,11280,No
10,jupipenju,111,11,12,91.67,7,7,0,0,16857,No
