# Kimbillionaire Game Archive
# Game Date: 2025-12-05T17:56:48.706Z
# Contestant: Kimba Gang
# Total Players: 10
# Questions Completed: 15 of 15
# Winner: kerviz (251 points)
#
Rank,Username,Points,Correct_Answers,Total_Votes,Accuracy_Percent,Current_Streak,Best_Streak,Hot_Seat_Appearances,Hot_Seat_Correct,Fastest_Response_MS,Is_Winner
1,kerviz,251,12,12,100.00,12,12,0,0,6357,Yes
2,imsin__,232,12,12,100.00,12,12,0,0,6449,No
3,jvrosz4,204,12,12,100.00,12,12,0,0,6618,No
4,el_boris,202,11,11,100.00,11,11,0,0,8462,No
5,k0sarsw,179,11,11,100.00,11,11,0,0,7108,No
6,mad420jo,171,12,12,100.00,12,12,0,0,9474,No
7,hannamontana888,156,11,11,100.00,11,11,0,0,10252,No
8,daemonckeyball,156,11,11,100.00,11,11,0,0,8564,No
9,inkyderanged,138,11,12,91.67,5,6,0,0,8417,No
10,nitrogen203,90,8,8,100.00,8,8,0,0,11526,No
