# Kimbillionaire Game Archive
# Game Date: 2025-12-08T17:59:25.000Z
# Contestant: Recovered from backup
# Total Players: 76
# Questions Completed: 12 of 15
# Winner: inkyderanged (192 points)
#
Rank,Username,Points,Correct_Answers,Total_Votes,Accuracy_Percent,Current_Streak,Best_Streak,Hot_Seat_Appearances,Hot_Seat_Correct,Fastest_Response_MS,Is_Winner
1,inkyderanged,192,12,12,100.00,12,12,0,0,9276,Yes
2,mad420jo,176,12,12,100.00,12,12,0,0,9941,No
3,8yearsbro,171,12,12,100.00,12,12,0,0,9496,No
4,kerviz,220,12,12,100.00,12,12,0,0,7494,No
5,el_boris,156,11,11,100.00,11,11,0,0,10157,No
6,deyox_06,148,10,10,100.00,10,10,0,0,13194,No
7,redzarrowz,135,10,12,83.33,8,8,0,0,9222,No
8,imsin__,133,10,12,83.33,3,7,0,0,6681,No
9,zerniat1,122,7,8,87.50,7,7,0,0,8403,No
10,cucadeliciosa,118,11,12,91.67,8,8,0,0,7850,No
11,nitrogen203,92,9,10,90.00,9,9,0,0,20344,No
12,climbby,86,7,8,87.50,4,4,0,0,7685,No
13,garryrobertson231,83,8,8,100.00,8,8,0,0,33448,No
14,tonysoprano2141,83,8,9,88.89,8,8,0,0,21890,No
15,arhas115,81,8,8,100.00,8,8,0,0,18159,No
16,maeztro618,80,8,11,72.73,1,4,0,0,12645,No
17,romulaned,79,8,8,100.00,8,8,0,0,10861,No
18,hannamontana888,79,7,8,87.50,1,6,0,0,13411,No
19,arutnazyran,72,6,7,85.71,5,5,0,0,22123,No
20,drakeowl39,71,6,7,85.71,6,6,0,0,37197,No
21,xxxnxxx1999,66,5,7,71.43,5,5,0,0,20171,No
22,cryptobro28,64,5,5,100.00,5,5,0,0,21949,No
23,rakimlee124,56,3,6,50.00,1,2,0,0,37423,No
24,m1crotrad3r,49,5,7,71.43,3,3,0,0,35189,No
25,stepdady613,49,5,6,83.33,3,3,0,0,35427,No
26,dadday1231,38,4,4,100.00,4,4,0,0,42628,No
27,marcwsd,37,4,4,100.00,4,4,0,0,18078,No
28,there4laaron,36,4,4,100.00,4,4,0,0,16873,No
29,cented42,33,3,3,100.00,3,3,0,0,46445,No
30,manollothechamp,29,3,4,75.00,1,2,0,0,14459,No
31,ravela37,28,3,3,100.00,3,3,0,0,38678,No
32,gilfrancarvalho,27,3,3,100.00,3,3,0,0,30477,No
33,iaml412,23,2,2,100.00,2,2,0,0,48837,No
34,star_versee,17,2,2,100.00,2,2,0,0,21677,No
35,alfredo62112,16,2,2,100.00,2,2,0,0,42287,No
36,vwviktor,15,2,2,100.00,2,2,0,0,16017,No
37,xgodly1x,15,2,2,100.00,2,2,0,0,25037,No
38,petrustriste,11,1,1,100.00,1,1,0,0,12276,No
39,lapidedanstoute,9,0,0,0.00,0,0,0,0,,No
40,oyetundee,9,1,1,100.00,1,1,0,0,34346,No
41,geetee1x,9,1,1,100.00,1,1,0,0,15333,No
42,jedcx,8,1,1,100.00,1,1,0,0,27150,No
43,pieprzykxpp,8,1,1,100.00,1,1,0,0,23471,No
44,wladisisi,8,1,1,100.00,1,1,0,0,42428,No
45,daemonckeyball,8,1,1,100.00,1,1,0,0,33115,No
46,echoinstatic0,8,1,1,100.00,1,1,0,0,31783,No
47,badmaashs,8,1,1,100.00,1,1,0,0,38256,No
48,operator_flaszki,7,1,1,100.00,1,1,0,0,26877,No
49,kimbaai,5,0,0,0.00,0,0,0,0,,No
50,kagewins,4,0,0,0.00,0,0,0,0,,No
51,kimbatvgiveaway,3,0,0,0.00,0,0,0,0,,No
52,kazineyy,3,0,0,0.00,0,0,0,0,,No
53,buzo18,2,0,0,0.00,0,0,0,0,,No
54,dontbeal8m8,2,0,0,0.00,0,0,0,0,,No
55,thatboidhtx,2,0,0,0.00,0,0,0,0,,No
56,maciexiss,2,0,0,0.00,0,0,0,0,,No
57,happy4200000,2,0,0,0.00,0,0,0,0,,No
58,sunnyhillz,2,0,0,0.00,0,0,0,0,,No
59,antillum,2,0,0,0.00,0,0,0,0,,No
60,il_pasotto,1,0,0,0.00,0,0,0,0,,No
61,burgyx23,1,0,0,0.00,0,0,0,0,,No
62,tdwmaz,1,0,0,0.00,0,0,0,0,,No
63,z0ol0ok,1,0,0,0.00,0,0,0,0,,No
64,mazuremil,1,0,0,0.00,0,0,0,0,,No
65,tellybecour,1,0,0,0.00,0,0,0,0,,No
66,rfx_7_7_7,1,0,0,0.00,0,0,0,0,,No
67,johnny_pistol,1,0,0,0.00,0,0,0,0,,No
68,hubinskyes,1,0,0,0.00,0,0,0,0,,No
69,faitakis,1,0,0,0.00,0,0,0,0,,No
70,infs_x_deadshot,1,0,0,0.00,0,0,0,0,,No
71,morpheusv3,1,0,0,0.00,0,0,0,0,,No
72,marshtrade,1,0,0,0.00,0,0,0,0,,No
73,blahzior,1,0,0,0.00,0,0,0,0,,No
74,dukenfts,1,0,0,0.00,0,0,0,0,,No
75,fr0ta4,1,0,0,0.00,0,0,0,0,,No
76,shreddedisland,1,0,0,0.00,0,0,0,0,,No
