# Kimbillionaire Game Archive
# Game Date: 2025-12-10T17:52:08.158Z
# Contestant: 10th of December
# Total Players: 13
# Questions Completed: 15 of 15
# Winner: jbeckerbbn (179 points)
#
Rank,Username,Points,Correct_Answers,Total_Votes,Accuracy_Percent,Current_Streak,Best_Streak,Hot_Seat_Appearances,Hot_Seat_Correct,Fastest_Response_MS,Is_Winner
1,jbeckerbbn,179,13,13,100.00,13,13,0,0,11667,Yes
2,daemonckeyball,177,13,14,92.86,7,7,0,0,10500,No
3,gilfrancarvalho,145,10,10,100.00,10,10,0,0,20996,No
4,fipeapper,107,11,12,91.67,9,9,0,0,16495,No
5,mj28394,95,8,9,88.89,7,7,0,0,12004,No
6,satoshi_snitcher,80,8,9,88.89,7,7,0,0,17423,No
7,salesfifa231,71,7,7,100.00,7,7,0,0,20333,No
8,giftedsights,41,4,4,100.00,4,4,0,0,10142,No
9,wesoel,33,4,4,100.00,4,4,0,0,16916,No
10,cucadeliciosa,19,2,2,100.00,2,2,0,0,14036,No
11,kerviz,244,13,14,92.86,4,9,0,0,7340,No
12,inkyderanged,226,14,14,100.00,14,14,0,0,9050,No
13,InkyDeranged,5,0,0,0.00,0,0,0,0,,No
