# Kimbillionaire Game Archive
# Game Date: 2025-12-12T18:03:14.299Z
# Contestant: Lions 12.12
# Total Players: 17
# Questions Completed: 15 of 15
# Winner: mj28394 (167 points)
#
Rank,Username,Points,Correct_Answers,Total_Votes,Accuracy_Percent,Current_Streak,Best_Streak,Hot_Seat_Appearances,Hot_Seat_Correct,Fastest_Response_MS,Is_Winner
1,mj28394,167,11,12,91.67,10,10,0,0,17120,Yes
2,el_boris,153,11,13,84.62,3,7,0,0,10207,No
3,cucadeliciosa,125,11,13,84.62,3,7,0,0,13641,No
4,rrana98,117,9,9,100.00,9,9,0,0,11346,No
5,sozocenter,83,7,7,100.00,7,7,0,0,20833,No
6,baratinhacripto,33,3,3,100.00,3,3,0,0,22371,No
7,j4bux,30,3,5,60.00,0,2,0,0,19105,No
8,jupipenju,27,2,4,50.00,0,2,0,0,32818,No
9,rxdxpixel,18,2,2,100.00,2,2,0,0,23728,No
10,nitrogen203,14,1,2,50.00,1,1,0,0,39861,No
11,kerviz,223,11,14,78.57,3,5,0,0,8254,No
12,daemonckeyball,187,10,13,76.92,2,8,0,0,8734,No
13,inkyderanged,116,11,14,78.57,3,5,0,0,13134,No
14,mad420jo,95,7,10,70.00,0,6,0,0,9153,No
15,gilfrancarvalho,82,8,10,80.00,2,6,0,0,19066,No
16,imsin__,76,8,10,80.00,3,4,0,0,16675,No
17,jbeckerbbn,65,6,6,100.00,6,6,0,0,25771,No
