# Kimbillionaire Game Archive
# Game Date: 2025-12-17T17:59:36.154Z
# Contestant: Kimba Gang Redemption Round
# Total Players: 15
# Questions Completed: 15 of 15
# Winner: ocslegna (160 points)
#
Rank,Username,Points,Correct_Answers,Total_Votes,Accuracy_Percent,Current_Streak,Best_Streak,Hot_Seat_Appearances,Hot_Seat_Correct,Fastest_Response_MS,Is_Winner
1,ocslegna,160,12,12,100.00,12,12,0,0,14645,Yes
2,fipeapper,133,12,15,80.00,0,8,0,0,14211,No
3,inkyderanged,125,11,16,68.75,2,4,0,0,8712,No
4,salesfifa231,115,11,15,73.33,7,7,0,0,20946,No
5,mcillem,113,10,12,83.33,2,7,0,0,27042,No
6,burgyx23,105,11,16,68.75,2,3,0,0,15917,No
7,zerniat1,103,7,7,100.00,7,7,0,0,9851,No
8,chichahrron,96,9,11,81.82,2,6,0,0,12084,No
9,operator_flaszki,92,5,5,100.00,5,5,0,0,12552,No
10,jupipenju,85,9,14,64.29,2,4,0,0,19136,No
11,daemonckeyball,241,14,15,93.33,0,14,0,0,12364,No
12,kerviz,205,12,16,75.00,2,5,0,0,8430,No
13,mj28394,117,11,13,84.62,2,9,0,0,14458,No
14,jbeckerbbn,75,7,7,100.00,7,7,0,0,15235,No
15,jvrosz4,22,2,2,100.00,2,2,0,0,11582,No
