# Kimbillionaire Game Archive
# Game Date: 2025-12-19T18:05:23.089Z
# Contestant: Kimba Gang Friday
# Total Players: 13
# Questions Completed: 15 of 15
# Winner: kerviz (287 points)
#
Rank,Username,Points,Correct_Answers,Total_Votes,Accuracy_Percent,Current_Streak,Best_Streak,Hot_Seat_Appearances,Hot_Seat_Correct,Fastest_Response_MS,Is_Winner
1,kerviz,287,12,14,85.71,1,10,0,0,8811,Yes
2,kukimuhituki,210,12,12,100.00,12,12,0,0,9858,No
3,j4bux,184,10,10,100.00,10,10,0,0,14326,No
4,dikkeflex,164,10,10,100.00,10,10,0,0,16160,No
5,83th,104,10,14,71.43,1,4,0,0,12004,No
6,al61do,86,6,6,100.00,6,6,0,0,15758,No
7,liamsi31,70,6,6,100.00,6,6,0,0,14626,No
8,domchec,64,5,6,83.33,5,5,0,0,22829,No
9,nitrogen203,39,4,5,80.00,1,3,0,0,21793,No
10,kasta90,38,4,6,66.67,1,3,0,0,22130,No
11,daemonckeyball,275,14,14,100.00,14,14,0,0,8241,No
12,el_boris,7,1,1,100.00,1,1,0,0,17415,No
13,gilfrancarvalho,2,0,0,0.00,0,0,0,0,,No
