# Kimbillionaire Game Archive
# Game Date: 2025-12-22T17:48:23.888Z
# Contestant: The week to be Jolly
# Total Players: 15
# Questions Completed: 15 of 15
# Winner: imsin__ (213 points)
#
Rank,Username,Points,Correct_Answers,Total_Votes,Accuracy_Percent,Current_Streak,Best_Streak,Hot_Seat_Appearances,Hot_Seat_Correct,Fastest_Response_MS,Is_Winner
1,imsin__,213,11,12,91.67,10,10,0,0,12350,Yes
2,bested14,167,12,12,100.00,12,12,0,0,11625,No
3,aritodo,159,10,10,100.00,10,10,0,0,14948,No
4,saamisaami,158,11,12,91.67,10,10,0,0,14440,No
5,satoshi_snitcher,116,9,9,100.00,9,9,0,0,18121,No
6,bumbule11,112,10,12,83.33,9,9,0,0,7465,No
7,jediskirk,101,10,11,90.91,1,9,0,0,16341,No
8,domchec,98,9,10,90.00,8,8,0,0,8795,No
9,almightypowers,74,7,7,100.00,7,7,0,0,22312,No
10,marcwsd,57,5,5,100.00,5,5,0,0,17683,No
11,kerviz,264,12,12,100.00,12,12,0,0,7057,No
12,inkyderanged,191,11,12,91.67,10,10,0,0,10392,No
13,mj28394,118,9,10,90.00,9,9,0,0,19702,No
14,cucadeliciosa,90,8,11,72.73,3,3,0,0,9926,No
15,daemonckeyball,16,1,3,33.33,0,1,0,0,8750,No
