# Kimbillionaire Game Archive
# Game Date: 2025-12-24T17:42:39.348Z
# Contestant: Merry Xmas LIONS
# Total Players: 12
# Questions Completed: 15 of 15
# Winner: buscri (190 points)
#
Rank,Username,Points,Correct_Answers,Total_Votes,Accuracy_Percent,Current_Streak,Best_Streak,Hot_Seat_Appearances,Hot_Seat_Correct,Fastest_Response_MS,Is_Winner
1,buscri,190,10,10,100.00,10,10,0,0,9346,Yes
2,kaagam,184,12,12,100.00,12,12,0,0,11723,No
3,satoshi_snitcher,162,11,11,100.00,11,11,0,0,13145,No
4,hellswat___,151,11,11,100.00,11,11,0,0,14715,No
5,kagewins,89,1,1,100.00,1,1,0,0,25994,No
6,mandalo__,65,7,10,70.00,2,2,0,0,17760,No
7,burgyx23,62,6,7,85.71,2,4,0,0,12290,No
8,tselemaia,38,4,4,100.00,4,4,0,0,10423,No
9,insistince,32,3,3,100.00,3,3,0,0,41570,No
10,mcillem,14,2,2,100.00,2,2,0,0,28790,No
11,kerviz,284,12,12,100.00,12,12,0,0,6345,No
12,cucadeliciosa,105,9,10,90.00,2,7,0,0,24111,No
