# Kimbillionaire Game Archive
# Game Date: 2025-12-26T17:49:25.375Z
# Contestant: Friday Juice December
# Total Players: 17
# Questions Completed: 15 of 15
# Winner: maeztro618 (218 points)
#
Rank,Username,Points,Correct_Answers,Total_Votes,Accuracy_Percent,Current_Streak,Best_Streak,Hot_Seat_Appearances,Hot_Seat_Correct,Fastest_Response_MS,Is_Winner
1,maeztro618,218,13,13,100.00,13,13,0,0,8700,Yes
2,schwanny888,149,10,10,100.00,10,10,0,0,14546,No
3,k0sarsw,148,11,13,84.62,8,8,0,0,9044,No
4,kris_bx98,120,12,14,85.71,8,8,0,0,13927,No
5,happy4200000,116,10,12,83.33,8,8,0,0,12711,No
6,chaosriftlord,106,10,11,90.91,4,6,0,0,17907,No
7,xlrdtv,95,9,9,100.00,9,9,0,0,8723,No
8,marcwsd,76,7,9,77.78,3,3,0,0,9188,No
9,burgyx23,51,5,6,83.33,4,4,0,0,16554,No
10,insistince,34,3,6,50.00,2,2,0,0,12300,No
11,kerviz,288,13,13,100.00,13,13,0,0,6404,No
12,buscri,194,12,12,100.00,12,12,0,0,7610,No
13,kaagam,115,10,12,83.33,8,8,0,0,11601,No
14,satoshi_snitcher,111,11,13,84.62,7,7,0,0,17927,No
15,mj28394,91,9,9,100.00,9,9,0,0,12806,No
16,j4bux,89,8,12,66.67,6,6,0,0,14455,No
17,imsin__,70,8,10,80.00,4,4,0,0,14394,No
