# Kimbillionaire Game Archive
# Game Date: 2025-12-29T17:54:40.804Z
# Contestant: Kimba Gang
# Total Players: 17
# Questions Completed: 15 of 15
# Winner: el_boris (213 points)
#
Rank,Username,Points,Correct_Answers,Total_Votes,Accuracy_Percent,Current_Streak,Best_Streak,Hot_Seat_Appearances,Hot_Seat_Correct,Fastest_Response_MS,Is_Winner
1,el_boris,213,13,13,100.00,13,13,0,0,7980,Yes
2,romans6,169,14,15,93.33,5,9,0,0,11556,No
3,balha_9987,163,12,12,100.00,12,12,0,0,20597,No
4,xlrdtv,152,11,12,91.67,7,7,0,0,7546,No
5,happy4200000,146,10,10,100.00,10,10,0,0,12440,No
6,daemonckeyball,143,12,13,92.31,4,8,0,0,7690,No
7,dontbeal8m8,141,10,12,83.33,7,7,0,0,8625,No
8,kris_bx98,135,12,13,92.31,5,7,0,0,14750,No
9,deameen1,103,10,11,90.91,4,6,0,0,17306,No
10,gilfrancarvalho,78,8,8,100.00,8,8,0,0,28614,No
11,inkyderanged,210,13,13,100.00,13,13,0,0,7779,No
12,kerviz,201,12,13,92.31,5,7,0,0,6884,No
13,satoshi_snitcher,181,11,11,100.00,11,11,0,0,17802,No
14,jvrosz4,172,12,13,92.31,10,10,0,0,8127,No
15,buscri,160,12,12,100.00,12,12,0,0,11453,No
16,maeztro618,86,8,9,88.89,1,7,0,0,24053,No
17,kaagam,22,2,2,100.00,2,2,0,0,11517,No
