# Kimbillionaire Game Archive
# Game Date: 2025-12-31T17:50:18.204Z
# Contestant: Last show of 2025
# Total Players: 16
# Questions Completed: 15 of 15
# Winner: xlrdtv (191 points)
#
Rank,Username,Points,Correct_Answers,Total_Votes,Accuracy_Percent,Current_Streak,Best_Streak,Hot_Seat_Appearances,Hot_Seat_Correct,Fastest_Response_MS,Is_Winner
1,xlrdtv,191,13,15,86.67,5,7,0,0,8933,Yes
2,happy4200000,165,13,15,86.67,5,7,0,0,9802,No
3,cucadeliciosa,110,9,13,69.23,3,6,0,0,15160,No
4,jupipenju,63,6,6,100.00,6,6,0,0,18309,No
5,insistince,45,4,4,100.00,4,4,0,0,9923,No
6,yaryond,32,3,3,100.00,3,3,0,0,14306,No
7,cyper22_kimbacub,13,1,1,100.00,1,1,0,0,143241,No
8,thatboidhtx,7,0,0,0.00,0,0,0,0,,No
9,kimbaai,6,0,0,0.00,0,0,0,0,,No
10,gilfrancarvalho,3,0,2,0.00,0,0,0,0,,No
11,kerviz,303,13,15,86.67,5,7,0,0,7453,No
12,inkyderanged,162,12,15,80.00,5,7,0,0,11023,No
13,imsin__,133,11,14,78.57,4,7,0,0,9270,No
14,maeztro618,75,8,13,61.54,1,4,0,0,14212,No
15,j4bux,70,6,8,75.00,0,6,0,0,21247,No
16,el_boris,7,1,1,100.00,1,1,0,0,17417,No
