# Kimbillionaire Game Archive
# Game Date: 2026-01-02T17:46:12.847Z
# Contestant: First Gameshow of 2026
# Total Players: 17
# Questions Completed: 15 of 15
# Winner: ibansheez (182 points)
#
Rank,Username,Points,Correct_Answers,Total_Votes,Accuracy_Percent,Current_Streak,Best_Streak,Hot_Seat_Appearances,Hot_Seat_Correct,Fastest_Response_MS,Is_Winner
1,ibansheez,182,14,14,100.00,14,14,0,0,12750,Yes
2,mj28394,169,10,10,100.00,10,10,0,0,10515,No
3,saamisaami,164,12,14,85.71,10,10,0,0,9826,No
4,luxslayer,162,12,14,85.71,10,10,0,0,10181,No
5,dikkeflex,108,9,9,100.00,9,9,0,0,11590,No
6,brutaracrypto,92,6,6,100.00,6,6,0,0,14560,No
7,midouch1994,45,4,4,100.00,4,4,0,0,12509,No
8,alinm,35,4,4,100.00,4,4,0,0,14385,No
9,hakispirit,26,3,3,100.00,3,3,0,0,27867,No
10,mrlarrys,14,2,2,100.00,2,2,0,0,16063,No
11,kerviz,243,12,12,100.00,12,12,0,0,7750,No
12,inkyderanged,225,12,14,85.71,10,10,0,0,7809,No
13,xlrdtv,209,12,14,85.71,10,10,0,0,7706,No
14,imsin__,185,12,12,100.00,12,12,0,0,11462,No
15,maeztro618,108,9,9,100.00,9,9,0,0,24192,No
16,cucadeliciosa,8,1,1,100.00,1,1,0,0,39273,No
17,j4bux,7,1,1,100.00,1,1,0,0,141800,No
